Sirpca,Turkce
Upotrebu,Kullanmak
Upotrijebite,Kullanın (emir) (siz)
Upotrijebiti,Kullanmak (fiil)
Upoznajte / Upoznaj,Tanımak
Upoznali,Tanıştım
Upoznam,Tanışayım
Upoznati,Tanışmak (fiil)
Upoznavanje,Tanıdık
Uprav / Upravnim,Yönetici
Uprava,Müdürlük /  Yönetim / İdare
Uprava Prihoda,Gelir İdaresi (kurum)
Uprava policije (UP),Polis müdürlüğü
Uprava za nekretnine,Tapu ve Kadastro Müdürlüğü
Uprave,İdaresininin / Müdürlüğün (genitiv) / İdareleri (akuzativ)
Upravlja,Yönetir
Upravljati,Yönetmek  (fiil)
Upravne ,Idari
Upravne poslove,İdari İşler
Upravni,Yönetimle ilgili
Upravni poslovi,İdari işler (akuzativ)
Upravnog,Yönetim / Yönetsel
Upravo,Şu anda / Tam şimdi / Yeni / Az önce / Şimdi / Tam olarak / Özellikle
Upravo ovako,Aynen böyle / Tam olarak
Upravo tako,Aynen öyle / tam olarak öyle
Uprkos,Karşın
Upućivati,Iletmek / Göndermek (fiil)
Upućujem,İletiyorum / Gönderiyorum (ben)
Upućujemo,İletiyoruz (biz)
Upujućem,Öğretici
Uput,Sevk etmek / Yönlendirmek
Uputio,İletti
Uputiti,Yönlendirmek / Sunmak (fiil)
Uputni / upitne,Şüpheli
Uputni oblik,Soru biçimi
Uputstva,Talimatlar
Uputstva za upotrebu,Kullanım için talimatlar
Uputstvo,Talimat
URA (Ujedinjena Reformska Akcija),Birleşik Reform Hareketi (siyasi parti)
Uračunat,Dahil edilmiş / Hesaba katılmış
Uračunate,Dahil edilmiş
Uračunati,Dahil etmek / Hesaba katmak (fiil)
Uradila,Yaptım (kadın)
Uradili smo EKG,EKG çektirdik
Uradimo,Hadi yapalım
Uradio,Yaptım (erkek)
Uraditi,Yapmak (fiil)
Uranak,Erken kalkma (erkek)
Uranka,Erken kalkmanın (genitiv)
Urednica,Editör
Uredništva,Editoryal ofis
Uređaj,Cihaz
Uređaja,Cihazı / Cihazın (akuzativ) (genitiv)
Uređaje,Cihazları (akuzativ)
Uređaji,Cihazlar (nominativ)
Uređenja,Düzenlemeler
Urma,Hurma
Uručena,Takdim edildi / Verildi (geçmiş)
Uručiti,Teslim etmek / Sunmak / resmi teslimat / Ödül vermek (fiil)
Urušava,Çökertiyor / Zayıflatıyor
Urušavanju,Bozulmasına / Çökmesine
Urušavati,Yıkmak / Çökertmek (fiil)
Usavršavanje,Kendini geliştirme
Usisava,Elektirkli süpürge ile süpürüyor (o)
Usisavala,Vakumlanmış
Usisavanje,Süpürme
Usisavati,Temizlik yapmak / Elektirikli süpürge ile süpürmek (fiil)
Usisivač,Elektrikli süpürge
Uske,Dar
Usklađenosti,Uyma
Usko,Dar / Sıkı
Uskoro,Yakında / Kısa süre içinde
Uskrs,Paskalya (katolik)
Uskršnih,Katolik paskalyasına ait
Uskršnja,Paskayla ile ilgili / Paskalyaya ait (katolik)
Usku,Darı (beden) (kadın) (akuzativ)
Uslijedio,Gerçekleşti / Ardından geldi (geçmiş)
Uslijediti,Takip etmek / Ardından gelmek (fiil)
Uslov,Şart / Koşul
Uslova,Şartların (genitiv)
Uslove,Koşullar / Şartlar (erkek) (akuzativ)
Uslove rada,Çalışma koşulları
Uslovi,Koşullar / Şartlar
Uslovima,Koşullar
Usluga,Iyilik
Usluga vodiča,Rehberlik hizmeti
Usluge,Hizmetler
Uslugom,Hizmet sayesinde / Hizmetle birlikte / Hizmet yoluyla / Hizmet ile
Uslugu / Posluživanje / Službi,Hizmet / Servis
Uslužni,Hizmet veren / Hizmetle ilgili
Uslužnih objekata,Hizmet noktalarının (genitiv)
Usmjeravati se,Yöneltilmek / Hedeflenmek (fiil)
Usmjeren,Yöneltilmiş
Usmjeriti,Yönlendirmek / Odaklamak
Usna,Dudak
Usne,Dudaklar
Uspio,Başarılı oldu (erkek) (geçmiş)
Uspjeh,Başarı
Uspjeha,Başarının / Başarılardan (genitiv)
Uspjehe,Başarıları (erkek)
Uspjehu,Başarıya / Başarı için (erkek) (dativ)
Uspjeli,Başardılar (geçmiş)
Uspješan,Başarılı
Uspješnih,Başarılı (genitiv) (çoğul)
Uspješno,Başarıyla
Uspješnog,Başarılı (sıfat) (genitiv)
Uspješnoj,Başarılı (kadın) (dativ)
Uspješnu,Başarılı (kadın) (akuzativ)
Uspjeti,Başarmak (fiil)
Uspomena,Anı
Uspomene,Anılar / Hatıralar
Usporavati,Yavaşlatmak (fiil)
Usta,Ağız (nötr)
Ustajati,Kalkmak (uyanmak) (fiil)
Ustajati se,Kalkmak / Ayağa kalkmak (fiil)
Ustaje,Kalkıyor (o)
Ustajem,Kalkıyorum (ben)
Ustajete,Kalkıyorsunuz (siz)
Ustaju,Kalkıyorlar (onlar)
Ustaljenim,Kurulmuş
Ustani,Kalk
Ustanove,Kurumlar
Ustati,Kalkmak (fiil)
Ustav,Anayasa
Ustav Republike Turske,Türkiye cumhuriyeti Anayasası
Ustavna,Anayasal
Ustavni,Anayasal / Anayasa ile ilgili
Ustavni odbor,Anayasa kurulu
Ustavni sud,Anayasa Mahkemesi
Ustavnog odbora,Anayasal kurulun
Ustavnog suda,Anayasa Mahkemesi (genitiv)
Ustavnog suda Crne Gore,Karadağ Anayasa Mahkemesi
Ustavnom,Anayasal
Ususi,Kurudu
Usvajanja,Benimseme
Usvoji,Benimsemesi
Usvojila,Kabul etti (geçmiş)
Usvojili,Kabul edilen
Usvojiti,Kabul etmek / Benimsemek (fiil)
Uši,Kulaklar
Ušli,Girdi
Uštedama / Uštedu / Uštede,Tasarruf
Uštedi,Tasarruf et / Kazan (sen)
Uštedjeti,Tasarruf etmek / Biriktirmek / Kar etmek (fiil)
Uštedu,Tasarruf (kadın) (akuzativ)
Ušteku,Aşınma / Yıpranma
Utakmica,Maç / Karşılaşma
Utakmice,Maçlar
Utakmicu,Maçı / Karşılaşmayı (akuzativ)
Uticaj,Etki
Uticaja,Etkinin (genitiv)
Uticati,Etkilemek (fiil)
Utiske,Izlenimler
Utišana,Susturuldu
Utorak,Salı (gün)
Utorka,Salı günü / Salının (gün) (genitiv)
Utorkom,Her salı / Salı günleri
Utući,Dövmek / Çırpmak / Ezmek (fiil)
Utvrdila,Belirledi / Kararlaştırdı (o) (geçmiş)
Utvrditi,Belirlemek / Kararlaştırmak / Saptamak (fiil)
Utvrđeno,Tespit edildi
Uveče,Akşamleyin / Akşam vakti
Uvećanje,Artış / Büyüme
Uveličavanja,Büyütme
Uvesti,Tanıtmak / Dahil etmek / Uygulamaya koymak (fiil)
Uvid,Göz atma / İnceleme
Uvidom,Gözden geçirilerek / Bakılarak (instrumental)
Uvijaca,Kıvırıcı / Bükücü / Saç maşası
Uvijek,Her zaman
Uvjerenje,belge
Uvjerite,Ikna etmek
Uvreda,Hakaret
Uvrede,Hakaretler (akuzativ)
Uz,İle / birlikte / yanında / yardımıyla / Desteğiyle (edat) (ek)
Uz mnogo,Çok şeyle
Uzak,Dar (erkek)
Uzalud,Boşuna / Nafile / Faydsız
Uzalud svi napadi,Bütün saldırılar boşuna
Uzbudljiv,Heyacan verici / Etkileyici (erkek)
Uzbudljiva,Heyecan verici / Etkileyici (kadın)
Uzbudljive,Heyecan verici
Uzeti,Almak (fiil) bir şeyi almak izin almak zaman almak
Uzeti mjeru	,Ölçü almak (terzi)
Uzimaj,Al (sen) (emir)
Uzimajte,Alın (siz) (emir)
Uzimam,Alıyorum (ben)
Uzimati,Sürekli almak / Düzenli almak (fiil)
Uzmi,Al (emir) (sen)
Uzmu ,Alır (onlar)
Uznemiravanje,Taciz / Rahatsız etmek
Uznemiravao,Rahatsız ediyordu / Taciz ediyordu (geçmiş)
Uznemiravati,Rahatsız etmek / Taciz etmek (fiil)
Uznemirenost,Huzursuzluk / Rahatsızlık
Uznemirenosti,Huzursuzluğun (genitiv)
Uzrasta,Yaş (insan yaşı)
Uzrok,Sebep / Neden / Etken (ortaya çıkma nedeni)
Uži,Daha dar / Kısa (erkek) (sıfat)
Uživaj,Keyfini çıkar / Zevk al (sen)
Uživajmo,Eğlenelim / Keyif alalım (biz)
Uživajte,Tadını çıkarın (siz)
Uživajte / Zabava / Provod / Zabavni,Eğlence
Uživaju,Tadını çıkarmak
Uživali,Eğlendik / keyif aldık (biz)
Uživanje / Uživanju / Užitak / Zadovoljstvo / Oduševiti / Oduševi / Uživancija,Zevk
Uživate / Uživaš / Uživačeš,Tadını çıkar
Uživati,Eğlenmek / Keyif almak / Tadını çıkarmak (fiil)
Uživo,Canlı / Yüzyüze (yayın)
Uživo,Canlı (yayın) / Gerçek zamanlı
Vaditi,Çıkarmak (fiil)
Vafelice,Gofretler
Vaktija,Namaz vakitleri çizelgesi
Vakufske,Vakıf
Vakum kesa,Vakum torbası
Vakuum / Vakum / Vakuumski / Usisate,Vakum
Valcer,Vals (dans)
Vam,Size (dativ) (lokativ) Kısa ve resmi kullanım
Vama,Size (dativ) (lokativ) vurgulayıcı kullanım
Vama dragu osobu,Senin için değerli olan bir kişi
Vama posvećena,Sana adanmış
Van,Dışında / -den uzak
Vanka,Dışarı / Dışarıda
Vanjski,Dış / Dışa ait
Vanjskih,Dış ... ile ilgili (genitiv)
Vanjskih poslova,Dışilişkilerin (genitiv)
Vanjskopolitički,Dış politikayla ilgili
Vanjsku,Harici
Vanjsku politiku,Dış Politika
Varijanta,Varyant / Versiyon / Sürüm (kadın)
Varijante,Varyantlar / Versiyonlar / Sürümler (kadın) (genitiv)
Varoši,Kasabalar
Varšavi,Varşov'da (lokativ)
Vas,Sizin / Size / Sizinle / Sizi (zamir)
Vas čeka,Seni bekliyor
Vaskrs,Paskalya (Ortodoks)
Vaskrsenja,Diriliş
Vaskrsu,Paskalyaya  / Paskalyada (Ortodoks)
Vaskršnih,Ortodoks Paskalyasına ait
Vaš,Sizin (erkek) (sıfat)
Vaša (2),Sizin (kadın - çoğul)
Vaša (1),Sizin (kadın)
Vaše (2),sizin (nötr)
Vašeg,Sizin / Size (erkek) (genitiv) (akuzativ) (lokativ)
Vašem,Sizin / Size (erkek) (lokativ) / Sizi (dativ)
Vaši,Sizin (erkek - çoğul)
Vašim,Sizinle / Sizin için (dativ) (lokativ) (instrumental)
Vašington,Washington şehri
Vašingtonu,Washington
Vašoj,Sizin
Vašu,Sizin
Vaterpolisti,Sutopu oyuncuları
Vatikanu,Vatikan
Vatra,Ateş
Vatrena,Ateşli
Vatromet,Havai fişek gösterisi
Vatrometom,Havai fişeklerle / Havi fişek gösterisiyle
Vatru,Ateşi (akuzativ) (kadın)
Vaučer,Çek / Kupon
Vazduh / Vazduha / Vazdušna / Zraka,Hava
Vazduh bez virusa,Virüssüz hava
Vaze,Vazolar
Važan,Önemli / Dikkate alınır (erkek)
Važan partner,Önemli Ortak
Važe,Geçerlidir
Važi,Anlaştık / Tamam / Tamamdır
Važi,Geçerli
Važiti,Geçerli olmak / Yürürlükte olmak (fiil)
Važna,Önemli / Dikkate alınır (dişi)
Važniji,Daha önemli
Važnijom,Daha önemli (instrumental)
Važno,Önemli / Dikkate alınır (nötr)
Važno obavještenje,Önemli uyarı
Važnost,Önem
Važnosti,Önemi (kadın) (genitiv)
Važnu,Önemli
Važnu,Önemli (belirtme) (dişi)
Veče,Akşam
Večera,Akşam yemeği
Večeramo,Akşam yemeği yeriz (biz)
Večeras,Bu akşam
Večerašnji,Bu akşamki
Večerati,Akşam yemeği yemek (fiil)
Večeri,Akşamlar
Večeri svima,Herkese iyi akşamlar
Večernji,Akşam / akşamleyin / Akşamlık
Večeru,Akşam yemeğini  (akuzativ)
Veči / Veća,Daha büyük
Već,Çoktan / Zaten / Şimdiden  / Bir süredir / Artık / Sadece / Şu anda / Fakat / Aksine
Veća,Daha büyük (dişi)
Veće,Daha büyük (nötr)
Veći,Daha büyük (erkek)
Većina,Çoğunluk
Većine,Çoğunluğun
Većinu,Çoğunluk (akuzativ)
Vedrije,Daha parlak
Vedro,Açık hava
Vegan,Vegan
Veliciku / Remek / Izvrsnih,Harika
Veličina,Boyut / Beden (kıyafet) (kadın)
Veličinu,Bedeni (kadın) (akuzativ)
Velik,Büyük (erkek)
Velika,Büyük (Kadın) (akuzativ)
Velika slova,Büyük harfler
Velikana,Dev / Büyük insan / Önemli kişi (genitiv) (akuzativ)
Velike,Büyük (kadın) (akuzativ)
Velike Britanije,Büyük Britanya
Velike narodne skupštine Republike Turske,Türkiye Cumhuriyeti Büyük Millet Meclisi
Veliki,Büyük
Veliki hit,Büyük trend
Velikim,Büyük (instrumental) (dativ) (erkek) (nötr)
Veliko,Büyük (nötr)
Velikog,Büyük olan
Velikom,Büyük (erkek) (lokativ)
Veneciju,Venedik
Ventilatorska,Fan
Veoma,Çok (resimi) (nötr)
Veoma,Çok / Oldukça / Son derece
Veoma dobri uslovi,Çok iyi koşullar
Verovati,Inanmak
Vertikalni / Vertikalno,Dikey
Veseo,Neşeli / Mutlu / Keyifli
Veš,Çamaşır / Kıyafet
Veš mašine,Çamaşır makineleri
Veša,Çamaşırın / Kıyafetin (genitiv)
Veštinama,Yetenekler
Vezanu,Bağlanmış
Vi,Siz (şahıs zamiri)
Videla,Gördüm (geçmiş) (kadın)
Videli,Gördüler
Video,Gördüm (geçmiş) (erkek)
Videoporuci,Video Mesajında (kadın) (lokativ)
Videoporuka,Video mesaj
Videti,Görmek (fiil)
Videti,Görmek (fiil)
Vidi / Vide,Görmek
Vidimo,Görürüz
Vidimo se / Vidjeti se,Görüşürüz
Vidiš,Anlıyorsun
Vidite,Görürseniz (siz)
Vidjeti,Görmek (fiil)
Vijeka,Yüzyıl
Vijenac / Vijenca,Çelenk
Vijest,Haberler (kadın)
Vijesti,Haberler (kadın)
Vikati,Bağırmak (fiil)
Vikend,Hafta sonu
Vikendica,Dağ evi / Hafta sonu evi (nominativ)
Vikendice,Dağ evinin / Haftasonu (evinin) (genitiv)
Vikendicu,Dağ evini / Hafta sonu evini (akuzativ)
Vikendom,Hafta sonları
Vila,Villa / Lüks ev
Viljuška,Çatal (kadın)
Viljuške,Çatallar (kadın) (çoğul)
Viljušku,Çatal (akuzativ) (kadın)
Vina,Şaraplar
Vinar,Şarapçı
Vinarije,Şarap imalathaneleri
Vinarima,Şarapçılara / Şarap üreticilerine
Vinima,Şaraplarla (instrumental)
Vino,Şarap
Vino od meda,Bal şarabı
Vinogradartsvo,Bağcılık
Vinove,Şaraplar
Vinska simfonija,Şarap senfonisi
Vinske,Şarap (dişi) (nötr) (çoğul)
Vinski,Şarap (erkek) (nötr) (nominativ) (akuzativ)
Vinski podrum,Şarap mahzeni
Vinskog,Şarabın
Vinskom,Şarap (erkek) (nötr) (dativ) (instrumental)
Vinu,Şarap (dativ) (lokativ)
Viršla,Sosisli sandviç
Viršle,Sosisli sandviç
Virusa,Virüs
Vise,Asılmak / Sarkmak
Visece,Asılacak
Visina,Yükseklik / Boy
Visine,Yükseklikler / Boylar
Visok,Uzun boylu (erkek)
Visok standard,Yüksek standart
Visoka,Uzun boylu (kadın)
Visoki,Yüksek olanlar / uzun olanlar (erkek) / Yüksek olanı / Yüksek olanını (tekile) (erkek)
Visoki napon,Yüksek gerilim
Visokih,Uzun olanlar
Visokim strukom,Yüksek belli
Visoko,Yüksek / Uzun (nötr)
Visokokvalitetnog,Yüksek kalite
Visokom,Yüksek (instrumental)
Visokom potpeticom,Yüksek topuklu
Visoku,Yüksek
Više,Daha fazla / Daha çok
Više hiljada,Binlerce (sayı)
Više informacija,Daha fazla bilgi
Više na linku,Daha fazlası linkte
Više od,-den fazla
Više vremena,Daha fazla zaman
Višenamenska,Çok amaçlı
Višim,Daha yüksek
Višnja,Vişne (meyve)
Vitamina / Vitamine,Vitaminler
Vitamine,Vitaminleri (akuzativ)
Vizija,Vizyon
Vizu,Vize
Vizuelni,Görsel
Vječno / Zauvijek,Sonsuza kadar
Vjenčanja,Düğünler
Vjera,İnanç / Din (sıfat) (genitiv)
Vjere,Inanç
Vjernic,Mümin
Vjernici,Inananlar / Dindarlar
Vjernicima,Inananlar
Vjeroispovijesti,İnanç / Mezhep
Vjerovati,Inanmak (fiil)
Vjerske,Dini / İnançla ilgili (kadın) (çoğul)
Vjerski,Dini / İnançla ilgili
Vjerskom,Dini inançla ilgili (lokativ) (dativ)
Vjeruje,Güveniyor / İnanıyor
Vjerujem,Inanmak (fiil) (ben)
Vjerujemo,İnannıyoruz (biz)
Vjerujete,Inandığınız / Güvendiğiniz (siz)
Vjestačka / Vještačkom,Yapay
Vješaljka / Vješalicom,Askı
Vještačka ograda,Yapay çit
Vještačka trava,Suni (yapay) çim
Vještina,Beceri / Yetenek / Kabiliyet
Vještine,Beceriler / Yetenekler (kadın) (nominativ)
Vještinu / Veštinu,Yetenek
Vjetar,Rüzgar
Vjetrovito,Rüzgarlı
Vježbajte,Alıştırma yapın (siz)
Vježbati,Alıştırma yapmak (fiil)
Vlada,Hükümet
Vlada (II),Yönetir / Hükmeder (o)
Vladaju,Kural
Vladar,Hükümdr / Yönetici (erkek)
Vladati,Yönetmek / Hükmetmek (fiil)
Vladavina,Yönetim / Egemenlik
Vladavinu,Yönetimi / Üstünlüğü (akuzativ)
Vlade,Hükümetin (genitiv) / Hükümetler
Vladi,Hükümete (dativ)
Vladin,Hükümetle ilgili
Vladu,Hükümeti
Vlasnik,Sahip / Malik
Vlasnika,Sahiplerin / Maliklerin
Vlast,Yönetim / İktidar / Otorite
Vlasti,Yetkililer (resmi kurum) / İktidar
Vlastita,kendi / Kendi olan (kadın)
Vlastita imena,Özel isimler
Vlastitih,Kendine ait olanın (çoğul) (genitiv)
Vlastitih nekretnina,Kendi gayrimenkulü
Vlažne,Nemli
Vlažne maramice,Islak mendil
Vočni,Meyveli (erkek) (nominativ) (akuzativ)
Vočni pire,Meyve püresi
Voća,Meyveler / Meyvenin / Meyvelerin (genitiv) 
Voće,Meyve
Voćna,Meyveli (kadın)
Voćni,Meyveli (erkek)
Voćnim,Meyveli (dativ) (instrumental)
Voćno,Meyveli (nötr)
Voćnu,Meyve (kadın) (akuzativ)
Voćnjacima,Meyve bahçeleri
Voda,Su (kadın)
Vode,Sular / Suyun (genitiv) / Suları (akuzativ)
Vodeće,Önde gelen
Vodeći,Önde gelen
Vodi,Potansiyel müşteriler
Vodi (II),Suda (lokativ)
Vodi (III),Götürüyor / Yönlendiriyor (o)
Vodiča,Rehber / Kılavuz
Voditi,Götürmek / Yönlendirmek / Rehberlik etmek (fiil)
Vodkom,Votka
Vodom,Su ile
Vodootpomost,Su yalıtımı
Vodovod,Su İşleri
Vodu,Suyu (akuzativ)
Voj,Asker / Ordu
Vojnici,Askerler
Vojnik,Asker
Vojska,Ordu
Vojvode,Dük / Voyvoda
Vokativ / Vokativa,Vokatif
Vole,Sevmek (onlar)
Voleti,Sevmek (fiil)
Voli,Seviyor (o)
Volim,Seviyorum (ben)
Volimo,Severiz (biz)
Volio,Isterdim (erkek) (geçmiş)
Voliš,Sevmek (sen)
Volite,Seviyorsunuz (siz)
Voljela,Isterdim (kadın) (geçmiş)
Voljelo,Isterdim (nötr) (geçmiş)
Voljene,Sevdiklerinize
Voljeni,Sevilmiş biri
Voljenoj,Sevgili
Voljeti / Voleti,Sevmek (fiil)
Volju,İrade / İstek
Voz,Tren
Vozač,Sürücü
Vozila,Araçlar / Motorlu taşıtlar
Vozilo,Araç / Motorlu taşıt 
Vozilu,Araç
Vozim,Sürüyorum (ben)
Vozio,Sürdü
Voziti ,Sürmek / Araç kullanmak (fiil)
Vozna,Tren ile ilgili
Vozna karta,Tren bileti
Vozni,Tren ile ilgili / Trene ait
Vozni red,Tren tarifesi
Vozom,Trenle
Vozovi,Trenler
Vožnja,Sürüş / Yolculuk (kadın)
Vožnje,Sürüşün (genitiv) (kadın)
Vožnju,Sürme
Vožnju žičarom,Teleferik yolculuğu
Vraća,Dönüyor (o)
Vraćaju,Geri dönerler (onlar)
Vraćaju u prošlost,Geçmişe geri götürüyorlar
Vraćam,Dönüyorum (ben)
Vraćamo,Geri döndürüyoruz (biz)
Vraćanje,Geri ödeme
Vraćati,Geri döndürmek (fiil)
Vraćati se,Geri dönmek (fiil)
Vraćenim,İade
Vranac,Karga / Karadağ'ın yerli üzümü (şarapçılık)
Vranac Grand Reserve	,Karadağ'a özgü kırmızı şarap türü
Vrat,Boyun
Vrata,Kapılar
Vrate,Dönsünler / Dönerler
Vratima,Kapıya (dativ) / Kapıda (lokativ)
Vratite,Geri dönün (siz)
Vratiti,Geri koy
Vratiti se,Geri dönmek (fiil)
Vreća,Çuval / Büyük torba / Tulum
Vredan,Değerli / Kıymetli
Vreme,Zaman / Hava durumu
Vremena,Zaman (genitiv)
Vremenska,Hava durumu
Vremenska prognoza,Hava tahmini
Vremenu,Zaman / Havaya
Vremeplov,Zaman makinesi
Vrh,Zirve / Tepe
Vrhovnog,Yüce
Vrhu,Zirvede / Tepesinde (lokativ)
Vrhunska,En iyi / Mükemmel / Üst düzey (dişi)
Vrhunski ,En iyi / Mükemmel / Üst düzey (erkek)
Vrhunskin / Vrhunske / Vrhunsko / Sjajni / Predivan,Muhteşem
Vrhunskog / Vrhunsku / Vrhunskih,Birinci sınıf
Vrhunskom,Mükemmel / Üstün / Kaliteli
Vrhunsku,Üstün / en iyi
Vrijedan,Değerli / Çalışkan
Vrijedne,Değerli (nesne) (çoğul) (kadın)
Vrijednim,Değerli / Çalışkan (dativ) (instrumental)
Vrijednog,Değerinde / Kıymetinde (genitiv)
Vrijednost,Değer
Vrijednosti,Değerlerin (genitiv)
Vrijednostima,Değerler
Vrijednu,Değerli (nesne)
Vrijeme,Zaman / Hava durumu
Vrijeme punjenje,Şarj süresi
Vrijeme rada,Çalışma zamanı
Vrlo,Çok
Vrsta,Tür / Çeşit
Vrste,Türler / Çeşitler (kadın)
Vrstu / Malo,Biraz
Vrše,Yapılmaktadır (onlar)
Vršenja,Gerçekleştirilmesi / İşlenmesi
Vršiti,Ypmak / Yerine getirmek (fiil)
Vrućine,Aşırı sıcak / Ateş basması (çoğul)
Vuna,Yün
večeras,Bu akşam
Za (I),İçin / amacıyla (edat)
Za (II),-e / -a / -e doğru / -a doğru (edat) bir amaca yönelik gitmek
Za bolju podgoricu,Daha iyi bir Podgorica için
Za davanje na korišćenje	,Kullanıma tahsis edilmek üzere	
Za mene je,Benim için
Za našu,Bizim için
Za vikend,Hafta sonu
Zabavi,Eğlendir / Eğlenceli hale getir (sen) (emir)
Zabaviti,Eğlendirmek / Keyif vermek (fiil)
Zabavljao,Eğlendirildi
Zabavljaš,Eğlendirmek
Zabavna,Eğlenceli (kadın)
Zabilježba,Şerh / Kayıt
Zabilježite,Not al
Zablistaju,Parlasınlar
Zablistati,Parlamak / Işıldamak (mastar)
Zaboravi,Unutmak
Zaboravite,Unut gitsin
Zaboravljati,Unutmak (fiil)
Zabrani,Yasaklamak
Začinjena,Baharatlı / Soslu
Začinjeni / Začinskim,Baharatlı
Zadatak,Görev
Zadatka,Görevin / Görevinin (genitiv) / Görevi (akuzativ)  / Görevde (lokativ)
Zadatku,Görevde (dativ) (lokativ)
Zadesile ,Etkilediler / Vurdular
Zadesiti,Isabet etmek / Birini vurmak (fiil)
Zadnju,Sonuncu
Zadobili,Yara aldılar
Zadobiti,Yara almak (fiil)
Zadovoljan,Tatmin / Memnun / Sonuçtan memnun (erkek)
Zadovoljna,Tatmin olmak / Sonuçtan memnun olmak (dişi)
Zadovoljni,Memnun / Tatmin olmuş
Zadovoljstva,Memnuniyet / Keyif (genitiv)
Zadovoljstva,memnuniyet / Tatmin / Haz / Zevk / Keyif
Zadovoljstvo,Memnuniyet / Keyif
Zadovoljstvo je bilo,Bu bir zevkti
Zadovoljstvom,Memnuniyetle / Keyifle (instrumental)
Zadovoljstvu,Memnuniyete / Memnuniyette / Keyfe / Keyifte (dativ)
Zadrški,Geri çekil
Zadru,Geri gelmek
Zadržava,Tutar
Zadržite,Tutun / Saklayın / Bırakın
Zadržite kusur,Üstü kalsın
Zaduženim,Yetkili (kişi)
Zaduženja,Borcun / Yükümlülüğün
Zaduženje,Borç / Yükümlülük
Zadužila,Borç içinde
Zadužile,Borçlandı (o) (geçmiş)
Zadužiti,Borçlanmak / Görevlendirmek / Sorumluluk vermek (fiil)
Zadužujete,Borçlusun
Zaglavili,Sıkıştılar / Mahsur kaldılar (geçmiş) (onlar)
Zaglaviti se,Sıkışmak / Mahsur kalmak (fiil)
Zagolaj,Çıplak
Zagrejati,Isıtmak / Isınmak (fiil)
Zagrejete,Isın / ısının (emir)
Zagrljaja,Sarılmalar
Zagrljaja i ljubavi,Sarılmalar ve sevgiler
Zahtijeva,Gereklilikler
Zahtijevamo,Talep ediyoruz (biz)
Zahtijevati,Talep etmek (fiil)
Zahtjev,Talep / İstek
Zahtjeve,Talepler (akuzativ)
Zahtjevi,Gereksinimler / Talepler
Zahvalan,Minnettar
Zahvalio,Teşekkür edildi
Zahvalio,Teşekkür etti (o) (geçmiş)
Zahvaliti se,Teşekkür etmek (fiil)
Zahvalni,Minnettarız
Zahvalnost,Minnetarlık / Teşekkür / Şükran
Zahvaljivati,Teşekkür etmek (fiil) (sürekli)
Zahvaljuje,Teşekkürler
Zahvaljujem,Teşekkür ediyorum (ben)
Zahvaljujemo se,Teşekkür ederiz (biz)
Zahvaljujući,Sayesinde
Zainteresovani,İlgilenen
Zainteresovanih,İlgilenen (kişiler) (genitiv)
Zaista,Gerçekten / Hakikaten / Kesinlikle (resmi kullanım) (zarf)
Zajednica,Topluluk / Toplum
Zajednice,Toplumun / Topluluğun
Zajednicima,Topluluklar
Zajednicu,Topluluğu (akuzativ)
Zajednička,Ortak / Müşterek (kadın) (akuzativ)
Zajednički,Ortak
Zajednički ,Ortak
Zajedničkih,Ortaklar (genitiv)
Zajedničkog,Ortak
Zajedničkoj / Zajedničkog,Yaygın
Zajedništva,Beraberliğin / Birlikteliğin (genitiv)
Zajedništvo,Birliktelik
Zajedništvom,Birliktelikler (instrumental)
Zajedno,Birlikte / Beraber (zarf)
Zajmodavac,Borç veren
Zajmoprimac,Borçlu
Zakačke,Kancalar
Zakazali,Planlanmış
Zakazan,Planlanmış / Belirlenmiş
Zakazano,Planlandı (geçmüş)
Zakazati,Randevu almak / Planlamak (fiil)
Zakažem,Randevu istiyorum (ben)
Zakažete,Planlayın (siz)
Zakažite,Randevu al
Zaključak,Sonuç / Çıkarım
Zaključen između,Taraflarca imzalandı
Zaključio,Sonuçlandı
Zaključke,Sonuçlar / Çıkarımlar (çoğul)
Zakon,Kanun (erkek)
Zakon o budžetu,Bütçe yasası
Zakon o sprečavanju korupcije,Yolsuzluğu önleme yasası
Zakon o strancima,Yabancılar yasası
Zakona,Kanunun / Yasanın / Yasaların (genitiv)
Zakona o fondu,Fon kanunu
Zakona potrebnih,Gerekli yasalar
Zakone,Kanunlar
Zakonitost,Yasallık / Kanuna uygunluk
Zakoračili,Bir adım attı
Zakoračite,Adım atmak
Zalaganja,Çabalar / Gayretler / Girişimler (nötr)
Zalaganje,Çaba / Gayret / Girişim
Zalasci,Batışlar
Zalaska,Batışın (genitiv)
Zalaskom,Batışıyla
Zalazak,Batış
Zaliha,Stoklamak
Zaljubljen,Aşık
Zaljubljenih / Ljubitelje / Ljubitelji,Aşıklar
Zamah,İvme / hız / Momentum (erkek)
Zamalo,Neredeyse
Zamijeni,Değiştir (sen)
Zamijeniti,Değiştirmek / Takas etmek / Yeenilemek (fiil)
Zamisli,Hayal etmek
Zamjenice,Zamirler
Zamjeraju,Içerliyorlar
Zamrznuta,Dondurulmuş
Zanimanja,Meslekler
Zanimanje,Meslek / Uğraş
Zanimanju,Meslek / Uğraş (dativ)
Zanimljiv,İlginç / Zevkli
